NomDeNaissance;Prenom;Sexe;DateDeNaissance;TypeMandat;DateDebutMandat;DateFinMandat;MotifFinMandat;TypeFonction;DateDebutFonction;DateFinFonction;MotifFinFonction;Mandature;NuancePolitique;NomTerritoire;TypeTerritoire
SUMEIRE;FERNAND;M;NA;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;01/06/1961;10/03/1965;FM;1959;NA;PENNES MIRABEAU;Commune
ODDE;AUGUSTE;M;NA;CONSEILLER MUNICIPAL;08/03/1959;01/06/1961;NA;M;08/03/1959;01/06/1961;NA;1959;NA;PENNES MIRABEAU;Commune
RIEUBON;RENE;M;04/03/1918;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;PCF;PORT DE BOUC;Commune
GRILLET;ARISTIDE;M;NA;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;NA;SAINT GENIS POUILLY;Commune
ROSSILLE;AIME;M;NA;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;NA;TALANT;Commune
COUTROT;MAURICE;M;03/12/1907;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;SOC;BONDY;Commune
MEIFFRE;JEAN CHARLES;M;18/04/1908;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;RAD;MIRIBEL;Commune
TOURNIER BILLION;LEON;M;1899-04-02;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;NA;1959;SFIO;AMBERIEU EN BUGEY;Commune
MERCIER;AMEDEE;M;1890-12-02;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;SOC;BOURG EN BRESSE;Commune
BERTHAUD;DOMINIQUE;M;NA;CONSEILLER MUNICIPAL;08/03/1959;01/01/1963;DC;M;08/03/1959;01/01/1963;DC;1959;SOC;LONGVIC;Commune
MAZUE;MAURICE ANDRE GUILLAUME;M;24/02/1911;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;01/02/1963;10/03/1965;FM;1959;SOC;LONGVIC;Commune
REMOND;ROGER;M;04/02/1925;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;SOC;QUETIGNY;Commune
GRAILLE;JEAN;M;18/05/1907;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;1959;SOC;LA CIOTAT;Commune
