"Id","NomDeNaissance","Prenom","Sexe","DateDeNaissance","TypeMandat","DateDebutMandat","DateFinMandat","MotifFinMandat","TypeFonction","DateDebutFonction","DateFinFonction","MotifFinFonction","Mandature","NuancePolitique","NomTerritoire","TypeTerritoire"
"003","ANTHONIOZ","MARCEL","M",1911-04-26,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"CNI","DIVONNE LES BAINS","Commune"
"040","RUET","ROLAND","M",1921-10-29,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"CNI","FERNEY VOLTAIRE","Commune"
"041","BAILLY","HENRI","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"CNI","CHENOVE","Commune"
"004","MARTIN","ROGER","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"COM","BERRE L ETANG","Commune"
"042","TURCAN","FRANCIS","M",1912-02-23,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"COM","MARTIGUES","Commune"
"005","KARMAN","ANDRE","M",1924-03-10,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"COM","AUBERVILLIERS","Commune"
"043","HOUDREMONT","JEAN","M",1924-10-04,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"COM","LA COURNEUVE","Commune"
"006","GREGOIRE","ANDRE","M",1911-01-01,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"COM","MONTREUIL","Commune"
"039","ORY","ANDRE","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1962-07-01,"DM","M",1959-03-08,1962-07-01,"DM",1959,"COM","NOISY LE GRAND","Commune"
"044","BESSERER","JEAN","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1962-07-10,1965-03-10,"FM",1959,"COM","NOISY LE GRAND","Commune"
"045","LOLIVE","JEAN","M",1910-06-06,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"COM","PANTIN","Commune"
"007","GILLOT","AUGUSTE","M",1905-02-07,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"COM","SAINT DENIS","Commune"
"046","CALTOT","ROGER","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"COM","CLICHY SOUS BOIS","Commune"
"034","LAMBERTON","LEONCE","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1964-03-01,NA,"M",1959-03-08,1964-03-01,NA,1959,"DROITE","FONTAINE LES DIJON","Commune"
"009","DELEUIL","LAURENS","M",1918-11-08,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"DVD","MARIGNANE","Commune"
"010","VALETTE","HONORE","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"DVD","TARASCON","Commune"
"011","COLSON","MARCEL","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"DVD","RAINCY","Commune"
"012","CADOZ","MARIUS","M",1914-12-30,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"DVG","GEX","Commune"
"013","MOURET","HENRI","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"IND","AIX EN PROVENCE","Commune"
"047","CHOUQUET","YVES","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"IND","AUBAGNE","Commune"
"017","CHASTEL","PAUL","M",1905-01-28,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"IND","BELLEY","Commune"
"014","PRIVAT","CHARLES","M",1914-06-08,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"SFIO","ARLES","Commune"
"035","KIR","FELIX","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"CNI","DIJON","Commune"
"036","DUCHET","ROGER","M",1904-07-04,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"CNI","BEAUNE","Commune"
"015","GUESNIER","RENE","M",1919-01-07,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"PCF","BOBIGNY","Commune"
"016","BONNET","ADOLPHE","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,NA,"AURIOL","Commune"
"018","GUIS","MAURICE","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,NA,"BOUC BEL AIR","Commune"
"019","MARTIN","RAYMOND","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,NA,"CABRIES","Commune"
"048","NILES","MAURICE","M",1919-09-12,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"PCF","DRANCY","Commune"
"049","CORRE","CHARLES","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,NA,"LE BOURGET","Commune"
"050","EMIN","LEON","M",1903-07-11,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,NA,"OYONNAX","Commune"
"051","SUMEIRE","FERNAND","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1961-06-01,1965-03-10,"FM",1959,NA,"PENNES MIRABEAU","Commune"
"021","ODDE","AUGUSTE","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1961-06-01,NA,"M",1959-03-08,1961-06-01,NA,1959,NA,"PENNES MIRABEAU","Commune"
"022","RIEUBON","RENE","M",1918-03-04,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"PCF","PORT DE BOUC","Commune"
"023","GRILLET","ARISTIDE","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,NA,"SAINT GENIS POUILLY","Commune"
"037","ROSSILLE","AIME","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,NA,"TALANT","Commune"
"024","COUTROT","MAURICE","M",1907-12-03,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"SOC","BONDY","Commune"
"052","MEIFFRE","JEAN CHARLES","M",1908-04-18,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"RAD","MIRIBEL","Commune"
"027","TOURNIER BILLION","LEON","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,NA,1959,"SFIO","AMBERIEU EN BUGEY","Commune"
"001","MERCIER","AMEDEE","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"SOC","BOURG EN BRESSE","Commune"
"038","BERTHAUD","DOMINIQUE","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1963-01-01,"DC","M",1959-03-08,1963-01-01,"DC",1959,"SOC","LONGVIC","Commune"
"053","MAZUE","MAURICE ANDRE GUILLAUME","M",1911-02-24,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1963-02-01,1965-03-10,"FM",1959,"SOC","LONGVIC","Commune"
"054","REMOND","ROGER","M",1925-02-04,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"SOC","QUETIGNY","Commune"
"028","GRAILLE","JEAN","M",1907-05-18,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"SOC","LA CIOTAT","Commune"
"029","DEFFERRE","GASTON","M",1910-09-14,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",1959,"SOC","MARSEILLE","Commune"
