NomDeNaissance;Prenom;Sexe;DateDeNaissance;TypeMandat;DateDebutMandat;DateFinMandat;MotifFinMandat;TypeFonction;DateDebutFonction;DateFinFonction;MotifFinFonction;NuancePolitique;IdTerritoire;NomTerritoire;TypeTerritoire;Sources
ARRIGHI;PASCAL;M;16/06/1921;DEPUTE;02/01/1956;20/11/1958;FM;NA;NA;NA;NA;RRRS;NA;CORSE;Circonscription législative;WIKIPEDIA
ARRIGHI;PASCAL;M;16/06/1921;DEPUTE;23/11/1958;10/11/1962;FM;NA;NA;NA;NA;UNR;NA;CORSE;Circonscription législative;WIKIPEDIA
ARRIGHI;PASCAL;M;16/06/1921;DEPUTE;16/03/1986;01/06/1988;FM;NA;NA;NA;NA;FN;NA;BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
ARRIGHI;PASCAL;M;16/06/1921;CONSEILLER REGIONAL;16/03/1986;20/03/1992;FM;NA;NA;NA;NA;FN;NA;BOUCHES DU RHONE;Departement;WIKIPEDIA
ARRIGHI;PASCAL;M;16/06/1921;CONSEILLER REGIONAL;22/03/1992;10/03/1998;FM;NA;NA;NA;NA;FN;NA;BOUCHES DU RHONE;Departement;WIKIPEDIA
ASSOULY;AVI;F;05/06/1950;DEPUTE;17/06/2012;02/05/2014;NA;NA;NA;NA;NA;SOC;NA;5e CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
ASSOULY;AVI;F;05/06/1950;CONSEILLER REGIONAL;21/03/2010;01/12/2015;FM;NA;NA;NA;NA;SOC;NA;BOUCHES DU RHONE;Departement;WIKIPEDIA
BACCHI;JEREMY;M;08/03/1986;SENATEUR;01/10/2020;NA;NA;NA;NA;NA;NA;PCF;NA;BOUCHES DU RHONE;Departement;WIKIPEDIA
BENARROCHE;GUY;M;25/07/1954;CONSEILLER MUNICIPAL;20/03/2020;NA;NA;ADJOINT;20/03/2020;NA;NA;EELV;NA;LA BOUILLADISSE;Commune;WIKIPEDIA
BENARROCHE;GUY;M;25/07/1954;SENATEUR;01/10/2020;NA;NA;NA;NA;NA;NA;EELV;NA;BOUCHES DU RHONE;Departement;WIKIPEDIA
BERGASSE;HENRY;M;26/09/1894;DEPUTE;02/06/1946;25/11/1946;FM;NA;NA;NA;NA;NA;NA;ASSEMBLEE CONSTITUANTE;Circonscription législative;WIKIPEDIA
BERGASSE;HENRY;M;26/09/1894;DEPUTE;10/11/1946;10/06/1951;FM;NA;NA;NA;NA;RPF;NA;1ere CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;
BERGASSE;HENRY;M;26/09/1894;DEPUTE;17/06/1951;01/01/1956;FM;NA;NA;NA;NA;RPF;NA;1ere CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;
BERGASSE;HENRY;M;26/09/1894;DEPUTE;02/01/1956;20/11/1958;FM;NA;NA;NA;NA;RPF;NA;1ere CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;
BERGASSE;HENRY;M;26/09/1894;DEPUTE;23/11/1958;10/11/1962;FM;NA;NA;NA;NA;RPF;NA;1ere CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;
BERGASSE;HENRY;M;26/09/1894;CONSEILLER DEPARTEMENTAL;20/03/1949;10/04/1955;FM;NA;NA;NA;NA;RPF;NA;BOUCHES DU RHONE;Canton;WIKIPEDIA
BERGASSE;HENRY;M;26/09/1894;CONSEILLER DEPARTEMENTAL;17/04/1955;01/06/1961;FM;NA;NA;NA;NA;NA;NA;BOUCHES DU RHONE;Canton;WIKIPEDIA
BERGASSE;HENRY;M;26/09/1894;CONSEILLER MUNICIPAL;26/04/1953;01/03/1959;FM;NA;NA;NA;NA;NA;NA;MARSEILLE;Commune;ASSEMBLEE NATIONALE
BERNARDINI;FRANCOIS;M;24/08/1953;CONSEILLER MUNICIPAL;13/03/1977;01/03/1983;FM;NA;NA;NA;NA;SOC;NA;ISTRES;Commune;WIKIPEDIA
BERNARDINI;FRANCOIS;M;24/08/1953;CONSEILLER MUNICIPAL;06/03/1983;10/03/1989;FM;NA;NA;NA;NA;SOC;NA;ISTRES;Commune;WIKIPEDIA
BERNARDINI;FRANCOIS;M;24/08/1953;CONSEILLER MUNICIPAL;19/03/1989;10/06/1995;FM;NA;NA;NA;NA;SOC;NA;ISTRES;Commune;WIKIPEDIA
BERNARDINI;FRANCOIS;M;24/08/1953;CONSEILLER MUNICIPAL;18/06/1995;10/03/2001;FM;NA;NA;NA;NA;SOC;NA;ISTRES;Commune;WIKIPEDIA
BERNARDINI;FRANCOIS;M;24/08/1953;CONSEILLER MUNICIPAL;11/03/2001;01/03/2008;FM;M;11/03/2001;01/11/2002;NA;SOC;NA;ISTRES;Commune;WIKIPEDIA
BERNARDINI;FRANCOIS;M;24/08/1953;CONSEILLER MUNICIPAL;09/03/2008;20/03/2014;FM;M;09/03/2008;20/03/2014;FM;SOC;NA;ISTRES;Commune;WIKIPEDIA
BERNARDINI;FRANCOIS;M;24/08/1953;CONSEILLER MUNICIPAL;23/03/2014;10/03/2020;FM;M;23/03/2014;10/03/2020;FM;SOC;NA;ISTRES;Commune;WIKIPEDIA
BERNARDINI;FRANCOIS;M;24/08/1953;CONSEILLER MUNICIPAL;15/03/2020;NA;NA;M;15/03/2020;NA;NA;SOC;NA;ISTRES;Commune;WIKIPEDIA
BERNARDINI;FRANCOIS;M;24/08/1953;DEPUTE;02/05/1992;02/04/1993;NA;NA;NA;NA;NA;SOC;NA;16e CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
BERNARDINI;FRANCOIS;M;24/08/1953;CONSEILLER REGIONAL;15/03/1998;20/03/2004;FM;NA;NA;NA;NA;SOC;NA;BOUCHES DU RHONE;Departement;WIKIPEDIA
BERNARDINI;FRANCOIS;M;24/08/1953;REPRESENTANT EUROPEEN;20/07/1994;20/07/1999;FM;NA;NA;NA;NA;SOC;NA;NA;NA;WIKIPEDIA
BERNARDINI;FRANCOIS;M;24/08/1953;CONSEILLER DEPARTEMENTAL;25/09/1988;20/03/1992;FM;NA;NA;NA;NA;SOC;NA;ISTRES;Canton;WIKIPEDIA
BERNARDINI;FRANCOIS;M;24/08/1953;CONSEILLER DEPARTEMENTAL;22/03/1992;10/03/1998;FM;NA;NA;NA;NA;SOC;NA;ISTRES;Canton;WIKIPEDIA
BERTRAND;ANNE MARIE;F;27/11/1942;CONSEILLER MUNICIPAL;06/03/1983;10/03/1989;FM;M;01/05/1988;10/03/1989;FM;NA;NA;ROGNONAS;Commune;WIKIPEDIA
BERTRAND;ANNE MARIE;F;27/11/1942;CONSEILLER MUNICIPAL;19/03/1989;10/06/1995;FM;M;19/03/1989;10/06/1995;FM;NA;NA;ROGNONAS;Commune;WIKIPEDIA
BERTRAND;ANNE MARIE;F;27/11/1942;CONSEILLER MUNICIPAL;18/06/1995;10/03/2001;FM;M;18/06/1995;10/03/2001;FM;NA;NA;ROGNONAS;Commune;WIKIPEDIA
BERTRAND;ANNE MARIE;F;27/11/1942;CONSEILLER DEPARTEMENTAL;11/03/2001;01/03/2008;FM;NA;NA;NA;NA;LR;NA;CHATEAURENARD;Canton;WIKIPEDIA
BERTRAND;ANNE MARIE;F;27/11/1942;CONSEILLER DEPARTEMENTAL;09/03/2008;20/03/2015;FM;NA;NA;NA;NA;LR;NA;CHATEAURENARD;Canton;WIKIPEDIA
BERTRAND;ANNE MARIE;F;27/11/1942;SENATEUR;23/09/2017;30/09/2020;FM;NA;NA;NA;NA;LR;NA;BOUCHES DU RHONE;Departement;WIKIPEDIA
BILLOUX;FRANCOIS;M;21/05/1903;DEPUTE;01/06/1936;21/01/1940;ARRESTATION;NA;NA;NA;NA;SFIO;NA;3e CIRCONSCRIPTION MARSEILLE;Circonscription législative;WIKIPEDIA
BILLOUX;FRANCOIS;M;21/05/1903;DEPUTE;03/11/1943;25/07/1944;FM;NA;NA;NA;NA;SFIO;NA;ASSEMBLEE CONSULTATIVE PROVISOIRE;Circonscription législative;WIKIPEDIA
BILLOUX;FRANCOIS;M;21/05/1903;DEPUTE;21/10/1945;01/06/1946;FM;NA;NA;NA;NA;SFIO;NA;ASSEMBLEE CONSTITUANTE;Circonscription législative;WIKIPEDIA
BILLOUX;FRANCOIS;M;21/05/1903;DEPUTE;02/06/1946;25/11/1946;FM;NA;NA;NA;NA;SFIO;NA;ASSEMBLEE CONSTITUANTE;Circonscription législative;WIKIPEDIA
BILLOUX;FRANCOIS;M;21/05/1903;DEPUTE;10/11/1946;10/06/1951;FM;NA;NA;NA;NA;PCF;NA;NA;Circonscription législative;WIKIPEDIA
BILLOUX;FRANCOIS;M;21/05/1903;DEPUTE;17/06/1951;01/01/1956;FM;NA;NA;NA;NA;PCF;NA;NA;Circonscription législative;WIKIPEDIA
BILLOUX;FRANCOIS;M;21/05/1903;DEPUTE;02/01/1956;20/11/1958;FM;NA;NA;NA;NA;PCF;NA;NA;Circonscription législative;WIKIPEDIA
BILLOUX;FRANCOIS;M;21/05/1903;DEPUTE;23/11/1958;10/11/1962;FM;NA;NA;NA;NA;PCF;NA;4e CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
BILLOUX;FRANCOIS;M;21/05/1903;DEPUTE;18/11/1962;01/03/1967;FM;NA;NA;NA;NA;PCF;NA;4e CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
BILLOUX;FRANCOIS;M;21/05/1903;DEPUTE;05/03/1967;20/06/1968;FM;NA;NA;NA;NA;PCF;NA;4e CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
BILLOUX;FRANCOIS;M;21/05/1903;DEPUTE;23/06/1968;01/03/1973;FM;NA;NA;NA;NA;PCF;NA;4e CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
BILLOUX;FRANCOIS;M;21/05/1903;DEPUTE;04/03/1973;13/07/1977;DM;NA;NA;NA;NA;PCF;NA;4e CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
BILLOUX;FRANCOIS;M;21/05/1903;CONSEILLER MUNICIPAL;26/04/1953;01/03/1959;FM;NA;NA;NA;NA;SFIO;NA;MARSEILLE;Commune;WIKIPEDIA
BILLOUX;FRANCOIS;M;21/05/1903;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;NA;NA;NA;NA;PCF;NA;MARSEILLE;Commune;WIKIPEDIA
BILLOUX;FRANCOIS;M;21/05/1903;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;NA;NA;NA;NA;PCF;NA;MARSEILLE;Commune;WIKIPEDIA
BILLOUX;FRANCOIS;M;21/05/1903;CONSEILLER MUNICIPAL;29/04/1945;10/10/1947;FM;NA;NA;NA;NA;SFIO;NA;MARSEILLE;Commune;WIKIPEDIA
BLUM;ROLAND;M;12/07/1945;CONSEILLER DEPARTEMENTAL;18/03/1979;01/03/1985;FM;NA;NA;NA;NA;UDF;NA;6e CANTON MARSEILLE;Canton;WIKIPEDIA
BLUM;ROLAND;M;12/07/1945;CONSEILLER DEPARTEMENTAL;10/03/1985;20/03/1992;FM;NA;NA;NA;NA;UDF;NA;6e CANTON MARSEILLE;Canton;WIKIPEDIA
BLUM;ROLAND;M;12/07/1945;DEPUTE;16/03/1986;01/06/1988;FM;NA;NA;NA;NA;UDF;NA;1ere CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
BLUM;ROLAND;M;12/07/1945;DEPUTE;05/06/1988;20/03/1993;FM;NA;NA;NA;NA;UDF;NA;1ere CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
BLUM;ROLAND;M;12/07/1945;DEPUTE;21/03/1993;20/05/1997;FM;NA;NA;NA;NA;UDF;NA;1ere CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
BLUM;ROLAND;M;12/07/1945;DEPUTE;25/05/1997;01/06/2002;FM;NA;NA;NA;NA;UMP;NA;1ere CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
BLUM;ROLAND;M;12/07/1945;DEPUTE;19/07/2002;10/06/2007;FM;NA;NA;NA;NA;UMP;NA;1ere CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
BLUM;ROLAND;M;12/07/1945;DEPUTE;10/06/2007;01/06/2012;FM;NA;NA;NA;NA;UMP;NA;1ere CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
BLUM;ROLAND;M;12/07/1945;CONSEILLER MUNICIPAL;06/03/1983;10/03/1989;FM;NA;NA;NA;NA;UDF;NA;MARSEILLE;Commune;WIKIPEDIA
BLUM;ROLAND;M;12/07/1945;CONSEILLER MUNICIPAL;19/03/1989;10/06/1995;FM;NA;NA;NA;NA;UDF;NA;MARSEILLE;Commune;WIKIPEDIA
BLUM;ROLAND;M;12/07/1945;CONSEILLER MUNICIPAL;18/06/1995;10/03/2001;FM;NA;NA;NA;NA;UDF;NA;MARSEILLE;Commune;WIKIPEDIA
BLUM;ROLAND;M;12/07/1945;CONSEILLER MUNICIPAL;11/03/2001;01/03/2008;FM;Ma;11/03/2001;01/03/2008;FM;UMP;NA;6e SECTEUR MARSEILLE;Commune;WIKIPEDIA
BLUM;ROLAND;M;12/07/1945;CONSEILLER MUNICIPAL;09/03/2008;20/03/2014;FM;ADJOINT;09/03/2008;20/03/2014;FM;UMP;NA;MARSEILLE;Commune;WIKIPEDIA
BLUM;ROLAND;M;12/07/1945;CONSEILLER MUNICIPAL;23/03/2014;10/03/2020;FM;NA;NA;NA;NA;UMP;NA;MARSEILLE;Commune;WIKIPEDIA
BLUM;ROLAND;M;12/07/1945;REPRESENTANT EUROPEEN;20/03/1986;24/07/1989;FM;NA;NA;NA;NA;NA;NA;NA;NA;WIKIPEDIA
BONIFAY;CHARLES;M;19/07/1919;SENATEUR;28/09/1980;20/09/1989;FM;NA;NA;NA;NA;SOC;NA;BOUCHES DU RHONE;Departement;WIKIPEDIA
BORE;PATRICK;M;09/11/1956;SENATEUR;03/08/2020;20/09/2020;FM;NA;NA;NA;NA;LR;NA;BOUCHES DU RHONE;Departement;WIKIPEDIA
BORE;PATRICK;M;09/11/1956;SENATEUR;27/09/2020;05/07/2021;DC;NA;NA;NA;NA;LR;NA;BOUCHES DU RHONE;Departement;WIKIPEDIA
BORE;PATRICK;M;09/11/1956;CONSEILLER MUNICIPAL;11/03/2001;01/03/2008;FM;M;11/03/2001;01/03/2008;FM;LR;NA;LA CIOTAT;Commune;WIKIPEDIA
BORE;PATRICK;M;09/11/1956;CONSEILLER MUNICIPAL;09/03/2008;20/03/2014;FM;M;09/03/2008;20/03/2014;FM;LR;NA;LA CIOTAT;Commune;WIKIPEDIA
BORE;PATRICK;M;09/11/1956;CONSEILLER MUNICIPAL;23/03/2014;10/03/2020;FM;M;23/03/2014;10/03/2020;FM;LR;NA;LA CIOTAT;Commune;WIKIPEDIA
BORE;PATRICK;M;09/11/1956;CONSEILLER DEPARTEMENTAL;25/03/2004;10/03/2011;FM;NA;NA;NA;NA;LR;NA;LA CIOTAT;Canton;WIKIPEDIA
BORE;PATRICK;M;09/11/1956;CONSEILLER DEPARTEMENTAL;20/03/2011;20/03/2015;FM;NA;NA;NA;NA;LR;NA;LA CIOTAT;Canton;WIKIPEDIA
BORE;PATRICK;M;09/11/1956;CONSEILLER DEPARTEMENTAL;22/03/2015;23/10/2020;CUMUL;VP;22/03/2015;23/10/2020;CUMUL;LR;NA;LA CIOTAT;Canton;WIKIPEDIA
BOYER;VALERIE;F;11/06/1962;CONSEILLER MUNICIPAL;11/03/2001;01/03/2008;FM;NA;NA;NA;NA;UMP;NA;MARSEILLE;Commune;WIKIPEDIA
BOYER;VALERIE;F;11/06/1962;CONSEILLER MUNICIPAL;09/03/2008;20/03/2014;FM;ADJOINT;09/03/2008;20/03/2014;FM;UMP;NA;MARSEILLE;Commune;WIKIPEDIA
BOYER;VALERIE;F;11/06/1962;CONSEILLER MUNICIPAL;23/03/2014;10/03/2020;FM;Ma;23/03/2014;21/09/2017;CUMUL;LR;NA;6e SECTEUR MARSEILLE;Commune;WIKIPEDIA
BOYER;VALERIE;F;11/06/1962;DEPUTE;17/06/2007;10/06/2012;FM;NA;NA;NA;NA;UMP;NA;8e CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
BOYER;VALERIE;F;11/06/1962;DEPUTE;17/06/2012;10/06/2017;FM;NA;NA;NA;NA;UMP;NA;1ere CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
BOYER;VALERIE;F;11/06/1962;DEPUTE;18/06/2017;20/09/2020;DM;NA;NA;NA;NA;LR;NA;1ere CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
BOYER;VALERIE;F;11/06/1962;SENATEUR;01/10/2020;NA;NA;NA;NA;NA;NA;LR;NA;BOUCHES DU RHONE;Departement;WIKIPEDIA
BRET;ROBERT;M;10/04/1949;SENATEUR;27/09/1998;10/09/2008;FM;NA;NA;NA;NA;PCF;NA;BOUCHES DU RHONE;Departement;WIKIPEDIA
BURRONI;VINCENT;M;01/10/1947;DEPUTE;11/08/1998;10/06/2002;FM;NA;NA;NA;NA;SOC;NA;12e CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
BURRONI;VINCENT;M;01/10/1947;DEPUTE;17/06/2012;10/06/2017;FM;NA;NA;NA;NA;SOC;NA;12e CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
BURRONI;VINCENT;M;01/10/1947;CONSEILLER MUNICIPAL;11/03/2001;01/03/2008;FM;M;01/01/2003;01/03/2008;FM;SOC;NA;CHATEAUNEUF LES MARTIGUES;Commune;WIKIPEDIA
BURRONI;VINCENT;M;01/10/1947;CONSEILLER MUNICIPAL;09/03/2008;20/03/2014;FM;M;09/03/2008;20/03/2014;FM;SOC;NA;CHATEAUNEUF LES MARTIGUES;Commune;WIKIPEDIA
BURRONI;VINCENT;M;01/10/1947;CONSEILLER DEPARTEMENTAL;21/03/2004;20/03/2011;FM;NA;NA;NA;NA;SOC;NA;CHATEAUNEUF COTE BLEUE;Canton;WIKIPEDIA
