"Id","IdIndividu","IdEluRNEHisto","IdEluSenat","IdEluAssemblee","NomDeNaissance","Prenom","Sexe","DateNaissance","CommuneDeNaissance","DepartementDeNaissance","PaysDeNaissance","DateDeces","CommuneDeDeces","Nationalite","LibelleProfession","Sources","Divers"
"ain_057",NA,NA,NA,NA,"MERCIER","AMEDEE","M",1890-12-02,"MALAFRETAZ","AIN","France",1973-05-04,"BOURG EN BRESSE","FRANCAISE","Greffier","WIKIPEDIA",NA
"ain_059",NA,NA,NA,NA,"MEYLAN","PASCAL","M",1935-05-01,"FERNEY VOLTAIRE","AIN","France",2020-08-04,"FERNEY VOLTAIRE","FRANCAISE","Clerc de notaire","ARCHIVES","ANCIEN COMBATTANT"
"ain_060",NA,NA,NA,NA,"MILLON","CHARLES","M",1945-11-12,"BELLEY","AIN","France",NA,NA,"FRANCAISE","Conseiller juridique et fiscal","WIKIPEDIA","MINISTRE DE LA DEFENSE"
"ain_061",NA,NA,NA,NA,"MORETEAU","JEAN","M",1942-06-23,"MONTREVEL",NA,NA,NA,NA,NA,NA,"WIKIPEDIA",NA
"ain_062",NA,NA,NA,NA,"MORIN","PAUL","M",1924-06-29,"BOURG EN BRESSE","AIN","France",2020-07-28,"BOURG EN BRESSE","FRANCAISE","Directeur adjoint CES","ARCHIVES WIKIPEDIA","RESISTANT"
"ain_063",NA,NA,NA,NA,"NICOD","MICHEL","M",1939-10-08,NA,NA,NA,NA,NA,NA,"Chef entreprise",NA,NA
"ain_064",NA,NA,NA,NA,"PAOLI","GERARD","M",1945-03-09,NA,NA,NA,NA,NA,NA,NA,"WIKIPEDIA",NA
"ain_065",NA,NA,NA,NA,"PEPIN","JEAN","M",1939-11-23,"VILLEFRANCHE SUR SAONE","RHONE","France",2015-05-03,"VIRIAT","FRANCAISE","Professeur","ARCHIVES",NA
"ain_067",NA,NA,NA,NA,"PIRALLA","GILLES","M",1949-10-05,NA,NA,NA,NA,NA,NA,"Medecins","WIKIPEDIA",NA
"ain_068",NA,NA,NA,NA,"PROST","JEAN","M",1925-10-26,"DIVONNE LES BAINS","AIN","France",NA,NA,"FRANCAISE","Kinesitherapeute","ARCHIVES",NA
"ain_069",NA,NA,NA,NA,"PRUVOST","JEAN CLAUDE","M",NA,NA,NA,NA,NA,NA,NA,"Professeurs","WIKIPEDIA",NA
"ain_071",NA,NA,NA,NA,"RAVASSARD","NOEL","M",1935-07-25,"BUELLAS","AIN","France",NA,NA,"FRANCAISE","Directeur de college d'enseignement secondaire","WIKIPEDIA",NA
"ain_072",NA,NA,NA,NA,"ROBIN ","LOUIS","M",1923-05-01,"MARBOZ","AIN","France",2014-11-10,NA,"FRANCAISE",NA,"WIKIPEDIA",NA
"ain_073","SEN_058928D","NULL","58928D","NULL","RUET","ROLAND","M",1921-10-29,"FERNEY VOLTAIRE","AIN","France",2001-01-26,"SAINT JULIEN EN GENEVOIS","FRANCAISE","Directeur de societe","ARCHIVES, WIKIPEDIA",NA
"ain_074",NA,NA,NA,NA,"SAINT PIERRE","DOMINIQUE","M",1940-11-10,"LA TRONCHE","ISERE","France",NA,NA,"FRANCAISE","Avocat","WIKIPEDIA",NA
"ain_076",NA,NA,NA,NA,"SUBTIL","ROBERT","M",1884-03-14,NA,NA,NA,NA,NA,NA,"sans profession","ARCHIVES",NA
"ain_077",NA,NA,NA,NA,"TOURNIER BILLION","LEON","M",1899-04-02,NA,NA,NA,NA,NA,NA,"Inspecteur des instruments de mesure","ARCHIVES",NA
"ain_078",NA,NA,NA,NA,"TRAVERS","JEAN CLAUDE","M",1947-10-05,NA,NA,NA,NA,NA,"FRANCAISE","Medecins","WIKIPEDIA",NA
"ain_079",NA,NA,NA,NA,"TROMPILLE","STEPHANE","M",1982-12-01,"BOURG EN BRESSE","AIN","France",NA,NA,"FRANCAISE","Banquier","WIKIPEDIA",NA
"ain_080",NA,NA,NA,NA,"VIANES","GEORGES","M",1938-06-17,"BESANCON","DOUBS","France",NA,NA,"FRANCAISE","Haut fonctionnaire","PRESSE",NA
"ain_082",NA,NA,NA,NA,"VOISIN","MICHEL","M",1944-10-06,"REPLONGES","AIN","France",NA,NA,"FRANCAISE",NA,"WIKIPEDIA",NA
"ain_083",NA,NA,NA,NA,"VULLIOD","CHARLES","M",1909-01-09,"BELLEY","AIN",NA,NA,NA,NA,"Avoue","ARCHIVES",NA
"ain_039",NA,NA,NA,NA,"EXPOSITO","JOSIANE","F",1943-03-03,NA,NA,"France",NA,NA,"FRANCAISE","DIR. ETABLISSEMENT PUBLIC","PRESSE",NA
"ain_040",NA,NA,NA,NA,"FABRE","DANIEL","M",1961-09-07,NA,NA,"France",NA,NA,"FRANCAISE","Cadre","PRESSE",NA
"ain_041",NA,NA,NA,NA,"FOGNINI","JEAN MARC","M",1958-03-29,NA,NA,"France",NA,NA,"FRANCAISE","DIR. ETABLISSEMENT PUBLIC","PRESSE",NA
"ain_052",NA,NA,NA,NA,"JIMENEZ","CHRISTIAN","M",1950-02-28,"JARRIE","ISERE","France",2015-01-19,"BELLEY","FRANCAISE","Cadre","PRESSE",NA
"ain_007",NA,NA,NA,NA,"BERTHET","PIERRE","M",1949-01-01,"BELLEY","AIN","France",NA,NA,"FRANCAISE","Cadre","PRESSE",NA
"ain_053",NA,NA,NA,NA,"LAHUERTA","DIMITRI","M",1980-10-20,"BELLEY","AIN","France",NA,NA,"FRANCAISE","Chef entreprise","PRESSE",NA
"ain_031",NA,NA,NA,NA,"DEBAT","JEAN FRANCOIS","M",1966-01-24,"LYON","RHONE","France",NA,NA,"FRANCAISE","Haut fonctionnaire","WIKIPEDIA",NA
"ain_075",NA,NA,NA,NA,"SCATTOLIN","VINCENT","M",1979-01-27,"AUBENAS","ARDECHE","France",NA,NA,"FRANCAISE","Urbaniste","WIKIPEDIA",NA
"ain_034",NA,NA,NA,NA,"DUNAND","PASCAL","M",1968-10-15,NA,NA,NA,NA,NA,"FRANCAISE","Banquier","WIKIPEDIA",NA
"ain_036",NA,NA,NA,NA,"DUTY","PIERRE ETIENNE","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ain_058",NA,NA,NA,NA,"MEYLAN","FRANCOIS","M",1944-01-01,"FERNEY VOLTAIRE","AIN","France",NA,"NON","FRANCAISE","Ingenieur","WIKIPEDIA",NA
"ain_070",NA,NA,NA,NA,"RAPHOZ","DANIEL","M",1955-12-06,NA,NA,NA,NA,"NON",NA,"Fonctionnaire","WIKIPEDIA",NA
"ain_081",NA,NA,NA,NA,"VIRICEL","SYLVIE","F",1958-01-01,NA,NA,NA,NA,"NON",NA,"Agent immobilier","PRESSE",NA
"ain_042",NA,NA,NA,NA,"GAITET","JEAN PIERRE","M",1954-01-21,"LYON","RHONE","France",NA,"NON","FRANCAISE","Police","PRESSE",NA
"ain_044",NA,NA,NA,NA,"GOBET","JACQUES","M",1948-08-24,NA,NA,NA,NA,"NON",NA,NA,NA,NA
"ain_066",NA,NA,NA,NA,"PERRAUD","MICHEL","M",1953-04-15,"OYONNAX","AIN","France",NA,"NON","FRANCAISE","Cadre","PRESSE",NA
"ain_009",NA,NA,NA,NA,"BERTRAND","HUBERT","M",1976-12-05,NA,NA,NA,NA,"NON",NA,NA,NA,NA
