NomDeNaissance;Prenom;Sexe;DateNaissance;CommuneDeNaissance;DepartementDeNaissance;PaysDeNaissance;DateDeces;CommuneDeDeces;Nationalite;LibelleProfession;Sources;Divers
PERROT;JACQUES;M;01/09/1926;BOURGES;CHER;France;NON;NA;Français;Instituteur-ice;WIKIPEDIA;
PETEL;ANNE LAURENCE;F;08/02/1970;SAINT RAPHAEL;VAR;France;NON;NA;Français;Collarateur-ice;WIKIPEDIA;
PEZET;MICHEL;M;09/04/1942;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Avocat;WIKIPEDIA;
PHILIBERT;LOUIS;M;12/07/1912;PERTUIS;VAUCLUSE;France;21/06/2000;AIX EN PROVENCE;Français;Conducteur de travaux publics;WIKIPEDIA;Resistance
PICHERAL;JEAN FRANCOIS;M;26/02/1934;NIMES;GARD;France;NON;NA;Français;Medecin;WIKIPEDIA;
PITOLLAT;CLAIRE;F;17/09/1979;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Ingénieur-e;WIKIPEDIA;
PORELLI;VINCENT;M;08/02/1935;NICE;ALPES MARITIMES;France;NON;NA;Français;Instituteur-ice;WIKIPEDIA;
PORTE;JEANINE;F;14/11/1933;MARSEILLE;BOUCHES DU RHONE;France;02/07/2010;MARSEILLE;Français;Couturier-e;WIKIPEDIA;
POSADO;PASCAL;M;14/05/1925;MARSEILLE;BOUCHES DU RHONE;France;11/11/2016;MARSEILLE;Français;Fraiseur;WIKIPEDIA;
POVINELLI;ROLAND;M;09/08/1941;MARSEILLE;BOUCHES DU RHONE;France;11/05/2020;AUBAGNE;Français;Cadre;WIKIPEDIA;
PRIVAT;CHARLES;M;08/06/1914;SAINT MAURICE DE CAZEVIEILLE;GARD;France;21/08/1990;NERS;Français;Instituteur-ice;WIKIPEDIA;
RACON BUZON;CATHY;F;22/11/1976;DOMONT;VAL D OISE;France;NON;NA;Français;Communication;WIKIPEDIA;
RAIMOND;JEAN BERNARD;M;06/02/1926;PARIS;PARIS;France;07/03/2016;NEUILLY SUR SEINE;Français;Diplomate;WIKIPEDIA;
RAPUZZI;IRMA;F;12/04/1910;CADOLIVE;BOUCHES DU RHONE;France;04/04/2018;MARSEILLE;Français;Instituteur-ice;WIKIPEDIA;Resistance
RASTOIN;JACQUES;M;19/02/1900;MARSEILLE;BOUCHES DU RHONE;France;17/06/1979;GIGNAC LA NERTHE;Français;Industriel-le;WIKIPEDIA;
RAVIER;STEPHANE;M;04/08/1969;GAP;HAUTES ALPES;France;NON;NA;Français;Fonctionnaire PTT;WIKIPEDIA;
RAVIER;JULIEN;M;16/02/1978;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Juriste;WIKIPEDIA;
REYNES;BERNARD;M;18/10/1953;MEKNES;NA;Maroc;NON;NA;Français;Dentiste;WIKIPEDIA;
RIEUBON;RENE;M;04/03/1918;LA GRAND COMBE;GARD;France;13/01/2011;MIRAMAS;Français;Chantier naval;WIKIPEDIA;Resistance
RIPERT;FRANCIS;M;06/11/1911;LA CIOTAT;BOUCHES DU RHONE;France;14/09/1997;LA CIOTAT;Français;Avocat;WIKIPEDIA;
ROATTA;JEAN;M;13/12/1941;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;NA;WIKIPEDIA;
ROCCA SERRA;JACQUES;M;20/01/1943;NA;NA;NA;NON;NA;Français;Kinésithérapeute;WIKIPEDIA;
ROMAND;GEORGES;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
ROUSSEL;JEAN;M;04/04/1923;MARSEILLE;BOUCHES DU RHONE;France;05/09/2015;MARSEILLE;Français;Avocat;WIKIPEDIA;Resistance
ROYER PERREAUT;LIONEL;M;13/11/1972;TOULON;VAR;France;NA;NA;Français;Entourage politique;WIKIPEDIA;
SANNA;ROSY;F;01/01/1940;NA;NA;France;01/04/2022;NA;Français;Instituteur-ice;PRESSE;
SANMARCO;PHILIPPE;M;16/02/1947;EBOLOWA;NA;Cameroun;NON;NA;Français;Professeur-e consultant-e;WIKIPEDIA;
SANTONI;HYACINTHE;M;01/01/1939;SARTENE;CORSE;France;NON;NA;Français;NA;WIKIPEDIA;
SCHIAVETTI;HERVE;M;06/07/1956;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Agent territorial;WIKIPEDIA;
