IdIndividu;IdEluRNEHisto;IdEluSenat;IdEluAssemblee;NomDeNaissance;Prenom;Sexe;DateNaissance;CommuneDeNaissance;DepartementDeNaissance;PaysDeNaissance;DateDeces;CommuneDeDeces;Nationalite;LibelleProfession;Sources;Divers
;;;;DEBAT;JEAN FRANCOIS;M;24/01/1966;LYON;RHONE;France;NA;NA;FRANCAISE;Haut fonctionnaire;WIKIPEDIA;
;;;;SCATTOLIN;VINCENT;M;27/01/1979;AUBENAS;ARDECHE;France;NA;NA;FRANCAISE;Urbaniste;WIKIPEDIA;
;;;;DUNAND;PASCAL;M;15/10/1968;;;;NA;NA;FRANCAISE;Banquier;WIKIPEDIA;
;;;;DUTY;PIERRE ETIENNE;M;;;;;;;;;;
;;;;MEYLAN;FRANCOIS;M;01/01/1944;FERNEY VOLTAIRE;AIN;France;NON;NON;FRANCAISE;Ingenieur;WIKIPEDIA;
;;;;RAPHOZ;DANIEL;M;06/12/1955;;;;NON;NON;;Fonctionnaire;WIKIPEDIA;
;;;;VIRICEL;SYLVIE;F;01/01/1958;;;;NON;NON;;Agent immobilier;PRESSE;
;;;;GAITET;JEAN PIERRE;M;21/01/1954;LYON;RHONE;France;NON;NON;FRANCAISE;Police;PRESSE;
;;;;GOBET;JACQUES;M;24/08/1948;;;;NON;NON;;;;
;;;;PERRAUD;MICHEL;M;15/04/1953;OYONNAX;AIN;France;NON;NON;FRANCAISE;Cadre;PRESSE;
;;;;BERTRAND;HUBERT;M;05/12/1976;;;;NON;NON;;;;
