IdIndividu;IdEluRNEHisto;IdEluSenat;IdEluAssemblee;NomDeNaissance;Prenom;Sexe;DateDeNaissance;TypeMandat;DateDebutMandat;DateFinMandat;MotifFinMandat;TypeFonction;DateDebutFonction;DateFinFonction;MotifFinFonction;NuancePolitique;IdTerritoire;NomTerritoire;TypeTerritoire;Sources
;NA;NA;NA;EXPOSITO;JOSIANE;F;03/03/1943;CONSEILLER MUNICIPAL;17/03/2008;20/03/2014;FM;M;17/03/2008;20/03/2014;FM;SOC;NA;AMBERIEU EN BUGEY;Commune;WIKIPEDIA
;;;;EXPOSITO;JOSIANE;F;03/03/1943;CONSEILLER REGIONAL;29/03/2004;21/03/2010;FM;;;;;SOC;;AIN;Departement;WIKIPEDIA
;;;;FABRE;DANIEL;M;07/09/1961;CONSEILLER MUNICIPAL;22/03/2014;10/03/2020;FM;M;22/03/2014;10/03/2020;FM;UDI;;AMBERIEU EN BUGEY;Commune;WIKIPEDIA
;;;;FABRE;DANIEL;M;07/09/1961;CONSEILLER MUNICIPAL;20/03/2020;NA;NA;M;20/03/2020;NA;NA;UDI;;AMBERIEU EN BUGEY;Commune;WIKIPEDIA
;NA;NA;NA;VOISIN;MICHEL;M;06/10/1944;CONSEILLER DEPARTEMENTAL;22/03/1992;10/03/1998;FM;VP;01/04/1994;10/03/1998;FM;NA;NA;BAGE LE CHATEL;Canton;WIKIPEDIA
;NA;NA;NA;VOISIN;MICHEL;M;06/10/1944;CONSEILLER DEPARTEMENTAL;15/03/1998;20/03/2004;FM;VP;20/03/2004;FM;VP;NA;NA;BAGE LE CHATEL;Canton;WIKIPEDIA
;NA;NA;NA;VOISIN;MICHEL;M;06/10/1944;CONSEILLER DEPARTEMENTAL;13/03/1992;10/03/1998;FM;NA;NA;NA;NA;NA;NA;BAGE LE CHATEL;Canton;WIKIPEDIA
;NA;NA;NA;ARMAND;GERARD;M;09/07/1941;CONSEILLER DEPARTEMENTAL;18/03/1979;01/03/1985;FM;NA;NA;NA;NA;RPR;NA;BELLEGARDE SUR VALSERINE;Canton;ARCHIVES
;NA;NA;NA;ARMAND;GERARD;M;09/07/1941;CONSEILLER MUNICIPAL;11/06/1995;10/03/2001;FM;M;11/06/1995;10/03/2001;FM;RPR;NA;BELLEGARDE SUR VALSERINE;Commune;WIKIPEDIA
;NA;NA;NA;ARMAND;GERARD;M;09/07/1941;CONSEILLER MUNICIPAL;13/03/2001;21/03/2002;DC;M;13/03/2001;21/03/2002;DC;RPR;NA;BELLEGARDE SUR VALSERINE;Commune;WIKIPEDIA
;NA;NA;NA;ARMAND;GERARD;M;09/07/1941;CONSEILLER MUNICIPAL;06/03/1983;10/03/1989;FM;NA;NA;NA;NA;RPR;NA;BELLEGARDE SUR VALSERINE;Commune;ARCHIVES
;NA;NA;NA;ARMAND;GERARD;M;09/07/1941;CONSEILLER MUNICIPAL;12/03/1989;10/06/1995;FM;NA;NA;NA;NA;RPR;NA;BELLEGARDE SUR VALSERINE;Commune;ARCHIVES
;NA;NA;NA;BILLIEMAZ;AUGUSTE;M;29/08/1903;CONSEILLER DEPARTEMENTAL;20/03/1949;10/04/1955;FM;NA;NA;NA;NA;NA;NA;BELLEY;Canton;WIKIPEDIA
;NA;NA;NA;BILLIEMAZ;AUGUSTE;M;29/08/1903;CONSEILLER DEPARTEMENTAL;17/04/1955;01/06/1961;FM;NA;NA;NA;NA;NA;NA;BELLEY;Canton;WIKIPEDIA
;NA;NA;NA;BILLIEMAZ;AUGUSTE;M;29/08/1903;CONSEILLER DEPARTEMENTAL;04/06/1961;20/09/1967;FM;NA;NA;NA;NA;NA;NA;BELLEY;Canton;WIKIPEDIA
;NA;NA;NA;BILLIEMAZ;AUGUSTE;M;29/08/1903;CONSEILLER DEPARTEMENTAL;24/09/1967;20/09/1973;FM;NA;NA;NA;NA;NA;NA;BELLEY;Canton;WIKIPEDIA
;NA;NA;NA;MILLON;CHARLES;M;12/11/1945;CONSEILLER DEPARTEMENTAL;10/03/1985;20/09/1988;NA;NA;NA;NA;NA;NA;NA;BELLEY;Canton;WIKIPEDIA
;NA;NA;NA;TRAVERS;JEAN CLAUDE;M;05/10/1947;CONSEILLER DEPARTEMENTAL;22/03/1992;10/03/1998;FM;NA;NA;NA;NA;NA;NA;BELLEY;Canton;WIKIPEDIA
;NA;NA;NA;TRAVERS;JEAN CLAUDE;M;05/10/1947;CONSEILLER DEPARTEMENTAL;28/03/2004;20/03/2011;FM;;;;;;;BELLEY;Canton;PRESSE
;NA;NA;NA;CHASTEL;PAUL;M;28/01/1905;CONSEILLER MUNICIPAL;29/04/1945;10/10/1947;FM;M;29/04/1945;10/10/1947;FM;NA;NA;BELLEY;Commune;ARCHIVES
;NA;NA;NA;CHASTEL;PAUL;M;28/01/1905;CONSEILLER MUNICIPAL;19/10/1947;20/04/1953;FM;M;19/10/1947;20/04/1953;FM;NA;NA;BELLEY;Commune;ARCHIVES
;NA;NA;NA;CHASTEL;PAUL;M;28/01/1905;CONSEILLER MUNICIPAL;26/04/1953;05/03/1959;FM;M;26/04/1953;05/03/1959;FM;NA;NA;BELLEY;Commune;ARCHIVES
;NA;NA;NA;CHASTEL;PAUL;M;28/01/1905;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;NA;NA;BELLEY;Commune;ARCHIVES
;NA;NA;NA;CHASTEL;PAUL;M;28/01/1905;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;NA;NA;BELLEY;Commune;WIKIPEDIA
;NA;NA;NA;MILLON;CHARLES;M;12/11/1945;CONSEILLER MUNICIPAL;13/03/1977;05/03/1983;FM;M;13/03/1977;05/03/1983;FM;NA;NA;BELLEY;Commune;WIKIPEDIA
;NA;NA;NA;MILLON;CHARLES;M;12/11/1945;CONSEILLER MUNICIPAL;06/03/1983;10/03/1989;FM;M;06/03/1983;10/03/1989;FM;NA;NA;BELLEY;Commune;WIKIPEDIA
;NA;NA;NA;MILLON;CHARLES;M;12/11/1945;CONSEILLER MUNICIPAL;12/03/1989;10/06/1995;FM;M;12/03/1989;10/06/1995;FM;NA;NA;BELLEY;Commune;WIKIPEDIA
;NA;NA;NA;MILLON;CHARLES;M;12/11/1945;CONSEILLER MUNICIPAL;11/06/1995;10/03/2001;FM;M;11/06/1995;10/03/2001;FM;NA;NA;BELLEY;Commune;WIKIPEDIA
;NA;NA;NA;TRAVERS;JEAN CLAUDE;M;05/10/1947;CONSEILLER MUNICIPAL;11/03/2001;01/03/2008;FM;M;11/03/2001;01/03/2008;FM;NA;NA;BELLEY;Commune;WIKIPEDIA
;NA;NA;NA;VULLIOD;CHARLES;M;09/01/1909;CONSEILLER MUNICIPAL;14/03/1971;10/03/1977;FM;M;14/03/1971;10/03/1977;FM;NA;NA;BELLEY;Commune;ARCHIVES
;;;;FOGNINI;JEAN MARC;M;29/03/1958;CONSEILLER MUNICIPAL;17/03/2008;20/03/2014;FM;M;17/03/2008;20/03/2014;FM;DVG;;BELLEY;Commune;WIKIPEDIA
;;;;FOGNINI;JEAN MARC;M;29/03/1958;CONSEILLER DEPARTEMENTAL;28/03/2011;22/03/2015;FM;;;;;DVG;;BELLEY;Canton;PRESSE
;;;;JIMENEZ;CHRISTIAN;M;28/02/1950;CONSEILLER MUNICIPAL;17/03/2008;20/03/2014;FM;;;;;DVD;;BELLEY;Commune;PRESSE
;;;;JIMENEZ;CHRISTIAN;M;28/02/1950;CONSEILLER MUNICIPAL;22/03/2014;19/01/2015;DC;M;22/03/2014;19/01/2015;DC;DVD;;BELLEY;Commune;WIKIPEDIA
;;;;BERTHET;PIERRE;M;01/01/1949;CONSEILLER MUNICIPAL;22/03/2014;10/03/2020;FM;M;30/01/2015;10/03/2020;FM;DVD;;BELLEY;Commune;WIKIPEDIA
;;;;BERTHET;PIERRE;M;01/01/1949;CONSEILLER MUNICIPAL;13/03/1977;01/03/1983;FM;;;;;DVD;;BELLEY;Commune;PRESSE
;;;;BERTHET;PIERRE;M;01/01/1949;CONSEILLER MUNICIPAL;06/03/1983;10/03/1989;FM;;;;;DVD;;BELLEY;Commune;PRESSE
;;;;BERTHET;PIERRE;M;01/01/1949;CONSEILLER MUNICIPAL;11/06/1995;10/03/2001;FM;;;;;DVD;;BELLEY;Commune;PRESSE
;;;;BERTHET;PIERRE;M;01/01/1949;CONSEILLER MUNICIPAL;25/03/2001;05/02/2008;FM;;;;;DVD;;BELLEY;Commune;PRESSE
;;;;BERTHET;PIERRE;M;01/01/1949;CONSEILLER MUNICIPAL;17/03/2008;20/03/2014;FM;;;;;DVD;;BELLEY;Commune;PRESSE
;;;;LAHUERTA;DIMITRI;M;20/10/1980;CONSEILLER MUNICIPAL;20/03/2020;NA;FM;M;20/03/2020;NA;FM;DVD;;BELLEY;Commune;WIKIPEDIA
;;;;LAHUERTA;DIMITRI;M;20/10/1980;CONSEILLER MUNICIPAL;22/03/2014;10/03/2020;FM;;;;;DVD;;BELLEY;Commune;PRESSE
;NA;NA;NA;BARBEROT;PAUL;M;26/10/1915;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;1er ADJOINT;08/03/1959;10/03/1965;FM;NA;NA;BOURG EN BRESSE;Commune;ARCHIVES
;NA;NA;NA;BARBEROT;PAUL;M;26/10/1915;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;NA;NA;BOURG EN BRESSE;Commune;ARCHIVES
;NA;NA;NA;BARBEROT;PAUL;M;26/10/1915;CONSEILLER MUNICIPAL;14/03/1971;10/03/1977;FM;M;14/03/1971;10/03/1977;FM;CNI/MOD;NA;BOURG EN BRESSE;Commune;ARCHIVES
;NA;NA;NA;BARBEROT;PAUL;M;26/10/1915;CONSEILLER MUNICIPAL;29/04/1945;10/10/1947;FM;NA;NA;NA;NA;NA;NA;BOURG EN BRESSE;Commune;ARCHIVES
;NA;NA;NA;BARBEROT;PAUL;M;26/10/1915;CONSEILLER MUNICIPAL;19/10/1947;20/04/1953;FM;NA;NA;NA;NA;NA;NA;BOURG EN BRESSE;Commune;ARCHIVES
;NA;NA;NA;BARBEROT;PAUL;M;26/10/1915;CONSEILLER MUNICIPAL;26/04/1953;05/03/1959;FM;NA;NA;NA;NA;NA;NA;BOURG EN BRESSE;Commune;ARCHIVES
;NA;NA;NA;BERTRAND;JEAN MICHEL;M;06/06/1943;CONSEILLER MUNICIPAL;12/03/1989;10/06/1995;FM;1er ADJOINT;12/03/1989;10/06/1995;FM;RPR;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;BERTRAND;JEAN MICHEL;M;06/06/1943;CONSEILLER MUNICIPAL;11/06/1995;10/03/2001;FM;1er ADJOINT;11/06/1995;10/03/2001;FM;RPR;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;BERTRAND;JEAN MICHEL;M;06/06/1943;CONSEILLER MUNICIPAL;25/03/2001;05/02/2008;FM;M;25/03/2001;05/02/2008;FM;NA;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;BERTRAND;JEAN MICHEL;M;06/06/1943;CONSEILLER MUNICIPAL;06/03/1983;10/03/1989;FM;NA;NA;NA;NA;RPR;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
RNE_0000794;794;NULL;PA267075;BLANC;ETIENNE;M;29/08/1954;CONSEILLER MUNICIPAL;14/03/1983;19/03/1989;FM;NA;NA;NA;NA;NA;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;BRETON ;XAVIER;M;25/11/1962;CONSEILLER MUNICIPAL;25/03/2001;10/03/2008;FM;1er ADJOINT;25/03/2001;10/03/2008;FM;UMP;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;BRETON ;XAVIER;M;25/11/1962;CONSEILLER MUNICIPAL;16/03/2008;20/03/2014;FM;NA;NA;NA;NA;UMP;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;BRETON ;XAVIER;M;25/11/1962;CONSEILLER MUNICIPAL;23/03/2014;01/12/2015;DEMISSION;NA;NA;NA;NA;UMP;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;BUISSON;JEROME;M;15/01/1973;CONSEILLER MUNICIPAL;22/03/2014;10/03/2020;FM;NA;NA;NA;NA;FN;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;BUISSON;JEROME;M;15/01/1973;CONSEILLER MUNICIPAL;20/03/2020;25/07/2022;DM;NA;NA;NA;NA;RN;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;GODIN;ANDRE;M;18/05/1942;CONSEILLER MUNICIPAL;13/03/1977;05/03/1983;FM;ADJOINT;13/03/1977;05/03/1983;FM;NA;NA;BOURG EN BRESSE;Commune;ARCHIVES
;NA;NA;NA;GODIN;ANDRE;M;18/05/1942;CONSEILLER MUNICIPAL;11/06/1995;10/03/2001;FM;M;11/06/1995;10/03/2001;FM;NA;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;MAZUIR;RACHEL;M;12/02/1940;CONSEILLER MUNICIPAL;13/03/1977;01/03/1983;FM;NA;NA;NA;NA;SOC;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;MAZUIR;RACHEL;M;12/02/1940;CONSEILLER MUNICIPAL;06/03/1983;10/03/1989;FM;NA;NA;NA;NA;SOC;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;MAZUIR;RACHEL;M;12/02/1940;CONSEILLER MUNICIPAL;11/06/1995;10/03/2001;FM;NA;NA;NA;NA;SOC;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;MERCIER;AMEDEE;M;02/12/1890;CONSEILLER MUNICIPAL;29/04/1945;10/10/1947;FM;M;29/04/1945;10/10/1947;FM;SFIO;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;MERCIER;AMEDEE;M;02/12/1890;CONSEILLER MUNICIPAL;19/10/1947;10/04/1953;FM;M;19/10/1947;10/04/1953;FM;SFIO;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;MERCIER;AMEDEE;M;02/12/1890;CONSEILLER MUNICIPAL;16/04/1953;01/03/1959;FM;M;16/04/1953;01/03/1959;FM;SFIO;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;MERCIER;AMEDEE;M;02/12/1890;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;SFIO;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;MORETEAU;JEAN;M;23/06/1942;CONSEILLER MUNICIPAL;01/02/1985;10/03/1989;FM;M;01/02/1985;10/03/1989;FM;NA;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;MORETEAU;JEAN;M;23/06/1942;CONSEILLER MUNICIPAL;12/03/1989;10/06/1995;FM;NA;NA;NA;NA;NA;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;MORETEAU;JEAN;M;23/06/1942;CONSEILLER MUNICIPAL;13/03/1977;05/03/1983;FM;1er ADJOINT;13/03/1977;05/03/1983;FM;NA;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;MORIN;PAUL;M;29/06/1924;CONSEILLER MUNICIPAL;14/03/1971;10/03/1977;FM;ADJOINT;14/03/1971;10/03/1977;FM;UDF;NA;BOURG EN BRESSE;Commune;ARCHIVES
;NA;NA;NA;MORIN;PAUL;M;29/06/1924;CONSEILLER MUNICIPAL;13/03/1977;05/03/1983;FM;ADJOINT;13/03/1977;05/03/1983;FM;UDF;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;MORIN;PAUL;M;29/06/1924;CONSEILLER MUNICIPAL;06/03/1983;10/03/1989;FM;ADJOINT;06/03/1983;10/03/1989;FM;NA;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;MORIN;PAUL;M;29/06/1924;CONSEILLER MUNICIPAL;12/03/1989;10/06/1995;FM;M;12/03/1989;10/06/1995;FM;NA;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;MORIN;PAUL;M;29/06/1924;CONSEILLER MUNICIPAL;19/10/1947;20/04/1953;FM;NA;NA;NA;NA;NA;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;MORIN;PAUL;M;29/06/1924;CONSEILLER MUNICIPAL;26/04/1953;05/03/1959;FM;NA;NA;NA;NA;NA;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;MORIN;PAUL;M;29/06/1924;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;NA;NA;NA;NA;NA;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;MORIN;PAUL;M;29/06/1924;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;NA;NA;NA;NA;NA;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;ROBIN ;LOUIS;M;01/05/1923;CONSEILLER MUNICIPAL;13/03/1977;05/03/1983;FM;M;13/03/1977;05/03/1983;FM;NA;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;ROBIN ;LOUIS;M;01/05/1923;CONSEILLER MUNICIPAL;06/03/1983;01/01/1985;AU;M;06/03/1983;01/01/1985;AU;NA;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;SAINT PIERRE;DOMINIQUE;M;10/11/1940;CONSEILLER MUNICIPAL;12/03/1989;10/06/1995;FM;NA;NA;NA;NA;NA;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;NA;NA;NA;SAINT PIERRE;DOMINIQUE;M;10/11/1940;CONSEILLER MUNICIPAL;11/06/1995;10/03/2001;FM;NA;NA;NA;NA;NA;NA;BOURG EN BRESSE;Commune;WIKIPEDIA
;;;;DEBAT;JEAN FRANCOIS;M;24/01/1966;CONSEILLER MUNICIPAL;16/03/2008;20/03/2014;FM;M;16/03/2008;20/03/2014;FM;SOC;;BOURG EN BRESSE;Commune;WIKIPEDIA
;;;;DEBAT;JEAN FRANCOIS;M;24/01/1966;CONSEILLER MUNICIPAL;22/03/2014;10/03/2020;FM;M;22/03/2014;10/03/2020;FM;SOC;;BOURG EN BRESSE;Commune;WIKIPEDIA
;;;;DEBAT;JEAN FRANCOIS;M;24/01/1966;CONSEILLER MUNICIPAL;20/03/2020;NA;NA;M;20/03/2020;NA;NA;SOC;;BOURG EN BRESSE;Commune;WIKIPEDIA
;;;;DEBAT;JEAN FRANCOIS;M;24/01/1966;CONSEILLER REGIONAL;28/03/2004;10/03/2010;FM;;;;;SOC;;AIN;Departement;WIKIPEDIA
;;;;DEBAT;JEAN FRANCOIS;M;24/01/1966;CONSEILLER REGIONAL;21/03/2010;10/12/2015;FM;VP;21/03/2010;10/12/2015;FM;SOC;;AIN;Departement;WIKIPEDIA
;;;;DEBAT;JEAN FRANCOIS;M;24/01/1966;CONSEILLER REGIONAL;13/12/2015;20/06/2021;FM;;;;;SOC;;AIN;Departement;WIKIPEDIA
;;;;DEBAT;JEAN FRANCOIS;M;24/01/1966;CONSEILLER REGIONAL;27/06/2021;NA;NA;;;;;SOC;;AIN;Departement;WIKIPEDIA
;NA;NA;NA;MAZUIR;RACHEL;M;12/02/1940;CONSEILLER DEPARTEMENTAL;02/10/1988;15/03/1994;FM;NA;NA;NA;NA;SOC;NA;BOURG EN BRESSE EST;Canton;WIKIPEDIA
;NA;NA;NA;MAZUIR;RACHEL;M;12/02/1940;CONSEILLER DEPARTEMENTAL;20/03/1994;10/03/2001;FM;NA;NA;NA;NA;SOC;NA;BOURG EN BRESSE EST;Canton;WIKIPEDIA
;NA;NA;NA;GODIN;ANDRE;M;18/05/1942;CONSEILLER DEPARTEMENTAL;07/03/1976;10/03/1982;FM;NA;NA;NA;NA;SOC;NA;BOURG EN BRESSE I;Canton;ARCHIVES
;NA;NA;NA;MORIN;PAUL;M;29/06/1924;CONSEILLER DEPARTEMENTAL;23/09/1973;01/03/1976;FM;NA;NA;NA;NA;NA;NA;BOURG EN BRESSE II;Canton;WIKIPEDIA
;NA;NA;NA;MORIN;PAUL;M;29/06/1924;CONSEILLER DEPARTEMENTAL;07/03/1976;10/03/1982;FM;NA;NA;NA;NA;UDF;NA;BOURG EN BRESSE II;Canton;ARCHIVES
;NA;NA;NA;MORIN;PAUL;M;29/06/1924;CONSEILLER DEPARTEMENTAL;25/09/1988;15/03/1994;FM;VP;25/09/1988;15/03/1994;FM;NA;NA;BOURG EN BRESSE NORD CENTRE;Canton;WIKIPEDIA
;NA;NA;NA;MORIN;PAUL;M;29/06/1924;CONSEILLER DEPARTEMENTAL;20/03/1994;10/03/2001;FM;VP;20/03/1994;10/03/2001;FM;NA;NA;BOURG EN BRESSE NORD CENTRE;Canton;WIKIPEDIA
;NA;NA;NA;MORIN;PAUL;M;29/06/1924;CONSEILLER DEPARTEMENTAL;14/03/1982;20/09/1988;FM;NA;NA;NA;NA;UDF;NA;BOURG EN BRESSE NORD CENTRE;Canton;ARCHIVES
;NA;NA;NA;CARRIER;MICHEL;M;02/10/1906;CONSEILLER DEPARTEMENTAL;20/04/1958;01/03/1964;FM;NA;NA;NA;NA;NA;NA;BRENOD;Canton;ARCHIVES
;NA;NA;NA;CARRIER;MICHEL;M;02/10/1906;CONSEILLER DEPARTEMENTAL;08/03/1964;20/09/1970;FM;NA;NA;NA;NA;NA;NA;BRENOD;Canton;ARCHIVES
;NA;NA;NA;CARRIER;MICHEL;M;02/10/1906;CONSEILLER DEPARTEMENTAL;23/09/1970;01/03/1976;FM;NA;NA;NA;NA;NA;NA;BRENOD;Canton;ARCHIVES
;NA;NA;NA;CARRIER;MICHEL;M;02/10/1906;CONSEILLER DEPARTEMENTAL;07/03/1976;01/12/1980;DM;NA;NA;NA;NA;UDF;NA;BRENOD;Canton;ARCHIVES
;NA;NA;NA;GOY-CHAVENT;SYLVIE;F;23/05/1963;CONSEILLER MUNICIPAL;23/03/2014;10/03/2020;FM;M;23/03/2014;01/01/2017;CUMUL;NA;NA;CERDON;Commune;WIKIPEDIA
;NA;NA;NA;GOY-CHAVENT;SYLVIE;F;23/05/1963;CONSEILLER MUNICIPAL;09/03/2008;20/03/2014;FM;M;09/03/2008;20/03/2014;FM;NA;NA;CERDON;Commune;WIKIPEDIA
;NA;NA;NA;GOY-CHAVENT;SYLVIE;F;23/05/1963;CONSEILLER MUNICIPAL;11/03/2001;01/03/2008;FM;M;11/03/2001;01/03/2008;FM;NA;NA;CERDON;Commune;WIKIPEDIA
;NA;NA;NA;GOY-CHAVENT;SYLVIE;F;23/05/1963;CONSEILLER MUNICIPAL;23/06/1995;10/03/2001;FM;M;23/06/1995;10/03/2001;NA;DVD;NA;CERDON;Commune;WIKIPEDIA
;NA;NA;NA;GOY-CHAVENT;SYLVIE;F;23/05/1963;CONSEILLER MUNICIPAL;01/03/1989;20/06/1995;FM;NA;NA;NA;NA;DVD;NA;CERDON;Commune;WIKIPEDIA
;NA;NA;NA;RAVASSARD;NOEL;M;25/07/1935;CONSEILLER DEPARTEMENTAL;18/03/1979;01/03/1985;FM;NA;NA;NA;NA;PS;NA;CHATILLON SUR CHALARONNE;Canton;ARCHIVES
;NA;NA;NA;RAVASSARD;NOEL;M;25/07/1935;CONSEILLER DEPARTEMENTAL;10/03/1985;15/03/1992;FM;NA;NA;NA;NA;PS;NA;CHATILLON SUR CHALARONNE;Canton;ARCHIVES
;NA;NA;NA;RAVASSARD;NOEL;M;25/07/1935;CONSEILLER DEPARTEMENTAL;22/03/1992;10/03/1998;FM;NA;NA;NA;NA;PS;NA;CHATILLON SUR CHALARONNE;Canton;ARCHIVES
;NA;NA;NA;RAVASSARD;NOEL;M;25/07/1935;CONSEILLER MUNICIPAL;12/03/1989;10/06/1995;FM;M;12/03/1989;10/06/1995;FM;PS;NA;CHATILLON SUR CHALARONNE;Commune;ARCHIVES
;NA;NA;NA;RAVASSARD;NOEL;M;25/07/1935;CONSEILLER MUNICIPAL;11/06/1995;10/03/2001;FM;M;11/06/1995;10/03/2001;FM;PS;NA;CHATILLON SUR CHALARONNE;Commune;ARCHIVES
;NA;NA;NA;RAVASSARD;NOEL;M;25/07/1935;CONSEILLER MUNICIPAL;11/03/2001;01/03/2008;FM;M;11/03/2001;01/03/2008;FM;PS;NA;CHATILLON SUR CHALARONNE;Commune;WIKIPEDIA
;NA;NA;NA;RAVASSARD;NOEL;M;25/07/1935;CONSEILLER MUNICIPAL;13/03/1977;16/04/1977;DM;NA;NA;NA;NA;PS;NA;CHATILLON SUR CHALARONNE;Commune;ARCHIVES
;NA;NA;NA;ROBIN ;LOUIS;M;01/05/1923;CONSEILLER DEPARTEMENTAL;17/04/1955;01/04/1961;FM;NA;NA;NA;NA;NA;NA;COLIGNY;Canton;WIKIPEDIA
;NA;NA;NA;ROBIN ;LOUIS;M;01/05/1923;CONSEILLER DEPARTEMENTAL;04/06/1961;20/09/1967;FM;NA;NA;NA;NA;NA;NA;COLIGNY;Canton;WIKIPEDIA
;NA;NA;NA;ROBIN ;LOUIS;M;01/05/1923;CONSEILLER DEPARTEMENTAL;24/09/1967;20/03/1973;FM;NA;NA;NA;NA;NA;NA;COLIGNY;Canton;WIKIPEDIA
;NA;NA;NA;ROBIN ;LOUIS;M;01/05/1923;CONSEILLER DEPARTEMENTAL;23/09/1973;10/03/1979;FM;NA;NA;NA;NA;NA;NA;COLIGNY;Canton;WIKIPEDIA
;NA;NA;NA;ANTHONIOZ;MARCEL;M;26/04/1911;CONSEILLER MUNICIPAL;01/01/1939;20/04/1945;FM;M;01/01/1939;20/04/1945;FM;CNI/MOD;NA;DIVONNE LES BAINS;Commune;ARCHIVES
;NA;NA;NA;ANTHONIOZ;MARCEL;M;26/04/1911;CONSEILLER MUNICIPAL;29/04/1945;10/10/1947;FM;M;29/04/1945;10/10/1947;FM;CNI/MOD;NA;DIVONNE LES BAINS;Commune;ARCHIVES
;NA;NA;NA;ANTHONIOZ;MARCEL;M;26/04/1911;CONSEILLER MUNICIPAL;19/10/1947;20/04/1953;FM;M;19/10/1947;20/04/1953;FM;CNI/MOD;NA;DIVONNE LES BAINS;Commune;ARCHIVES
;NA;NA;NA;ANTHONIOZ;MARCEL;M;26/04/1911;CONSEILLER MUNICIPAL;26/04/1953;05/03/1959;FM;M;26/04/1953;05/03/1959;FM;CNI/MOD;NA;DIVONNE LES BAINS;Commune;ARCHIVES
;NA;NA;NA;ANTHONIOZ;MARCEL;M;26/04/1911;CONSEILLER MUNICIPAL;08/03/1959;10/03/1965;FM;M;08/03/1959;10/03/1965;FM;CNI/MOD;NA;DIVONNE LES BAINS;Commune;ARCHIVES
;NA;NA;NA;ANTHONIOZ;MARCEL;M;26/04/1911;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;M;14/03/1965;10/03/1971;FM;CNI/MOD;NA;DIVONNE LES BAINS;Commune;ARCHIVES
;NA;NA;NA;ANTHONIOZ;MARCEL;M;26/04/1911;CONSEILLER MUNICIPAL;14/03/1971;31/08/1976;FM;M;14/03/1971;31/08/1976;DC;REI;NA;DIVONNE LES BAINS;Commune;ARCHIVES
RNE_0000794;794;NULL;PA267075;BLANC;ETIENNE;M;29/08/1954;CONSEILLER MUNICIPAL;20/01/1991;05/06/1995;FM;M;20/01/1991;05/06/1995;FM;UDF;NA;DIVONNE LES BAINS;Commune;WIKIPEDIA
