NomDeNaissance;Prenom;Sexe;DateNaissance;CommuneDeNaissance;DepartementDeNaissance;PaysDeNaissance;DateDeces;CommuneDeDeces;Nationalite;LibelleProfession;Sources;Divers
MARTIN;DIDIER;M;20/08/1956;CLICHY;HAUTS DE SEINE;FRANCE;NON;NA;FRANCAISE;RADIOLOGUE;WIKIPEDIA;
MATHIEU;GILBERT;M;04/05/1920;BOUHY;NIEVRE;FRANCE;11/09/2009;NA;FRANCAISE;NOTAIRES;BOTTIN CdO;
MAZUE;MAURICE ANDRE GUILLAUME;M;24/02/1911;DIJON;COTE D OR;FRANCE;17/09/1998;DIJON;FRANCAISE;AGENTS SUBALTERNES (ENTR. PUBLIQUES);BOTTIN CdO;
MENUT;GILBERT;M;03/12/1947;FONTAINE LES DIJON;COTE D OR;FRANCE;NA;NA;FRANCAISE;HUISSIERS;BOTTIN CdO;
MEUNIER;PIERRE;M;15/08/1908;DIJON;COTE D OR;FRANCE;16/04/1996;ARNAY LE DUC;FRANCAISE;GRANDS CORPS DE L ETAT;BOTTIN CdO;RESISTANT
MOINE;HENRI;M;22/03/1921;DEZIZE LES MARANGES;SAONE ET LOIRE;FRANCE;10/03/2017;BEAUNE;FRANCAISE;VETERINAIRESS;BOTTIN CdO;
MORELON;PAUL;M;29/10/1922;LYON;BOUCHES DU RHONE;FRANCE;13/04/2008;FONTAINE LES DIJON;FRANCAISE;MEDECINS;BNF;
MORLEVAT;ROBERT;M;14/02/1907;SAINT MAUR LES FOSSES;VAL DE MARNE;FRANCE;01/04/1998;SEMUR EN AUXOIS;FRANCAISE;AGENTS GENERAUX D'ASSURANCES;BOTTIN CdO;
NUDANT;JEAN MARC;M;20/01/1942;BESANCON;DOUBS;FRANCE;15/09/2015;DIJON;FRANCAISE;AGENTS TECHNIQUE ET TECHNICIENS;BOTTIN CdO;
PARIS;DIDIER;M;14/02/1954;PARIS;PARIS;FRANCE;NON;NA;FRANCAISE;MAGISTRAT;WIKIPEDIA;
PATRIAT;FRANCOIS;M;12/03/1943;SEMUR EN AUXOIS;COTE D OR;FRANCE;NON;NA;FRANCAISE;VETERINAIRES;BOTTIN CdO;
PERRIAUX;LUCIEN;M;07/11/1898;PARIS;PARIS;FRANCE;28/04/1982;NA;FRANCAISE;PROFESSEURS DU SECONDAIRE ET TECHN. ET TECHN;ARCHIVES;COMBATTANT WWI
PICARD;ANDRE;M;22/06/1899;MARCIGNY SOUS THIL;COTE D OR;FRANCE;05/07/1979;MARCIGNY SOUS THIL;FRANCAISE;AGRICULTEURS PROPRIETAIRES EXPLOIT.;BOTTIN CdO;
POUJADE;ROBERT;M;06/05/1928;MOULINS;ALLIERS;FRANCE;08/04/2020;PARIS;FRANCAISE;GRANDS CORPS DE L ETAT;BOTTIN CdO;
RASERA;MICHEL;M;30/05/1947;LA CLAYETTE;SAONE ET LOIRE;FRANCE;16/11/2013;NA;FRANCAISE;COUR DES COMPTES;WIKIPEDIA;
REBSAMEN;FRANCOIS;M;25/06/1951;DIJON;COTE D OR;FRANCE;NON;NA;FRANCAISE;GRANDS CORPS DE L ETAT;BOTTIN CdO;MINISTRE
REMOND;ROGER;M;04/02/1925;OISILLY;COTE D OR;FRANCE;25/07/2003;DIJON;FRANCAISE;AGRICULTEURS PROPRIETAIRES EXPLOIT.;BOTTIN CdO;RESISTANT
REVOL;HENRI;M;14/02/1936;NEUVILLE LES DAMES;AIN;FRANCE;NON;NA;FRANCAISE;INGENIEURS;BOTTIN CdO;
ROCLORE;MARCEL;M;25/08/1897;SAULIEU;COTE D OR;FRANCE;27/10/1966;DUN LES PLACES;FRANCAISE;MEDECINS;BOTTIN CdO;RESISTANT
ROSSILLE;AIME;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
ROTGER;MICHEL;M;NA;NA;NA;NA;NON;NA;FRANCAISE;NA;NA;
RUET;GUILLAUME;M;22/06/1983;NA;NA;FRANCE;NON;NA;FRANCAISE;CADRE;PRESSE;
RUINET;FRANCOIS;M;14/06/1972;NA;NA;FRANCE;NON;NA;FRANCAISE;CHEF ENTREPRISE;PRESSE;
SAUVADET;FRANCOIS;M;20/04/1953;DIJON;COTE D OR;FRANCE;NON;NA;FRANCAISE;JOURNALISTES ET AUTRES MEDIAS;BOTTIN CdO;
SORDEL;MICHEL;M;11/11/1920;AUBEPIERRE;HAUTE MARNE;FRANCE;23/02/1994;CHATILLON SUR SEINE;FRANCAISE;AGRICULTEURS PROPRIETAIRES EXPLOIT.;ARCHIVES;
SOUNY;JEAN;M;20/11/1897;NA;NA;FRANCE;NA;NA;FRANCAISE;RETRAITE INSPECTEUR;ARCHIVES;
SUGUENOT;ALAIN;M;17/09/1951;TROYES;AUBE;FRANCE;NON;NA;FRANCAISE;AVOCATS;BOTTIN CdO;
SUREAU;HENRI;M;02/03/1909;EPOISSES;COTE D OR;FRANCE;NA;NA;FRANCAISE;RETRAITE;ARCHIVES;
VEILLET;JEAN;M;14/05/1901;DIJON;COTE D OR;FRANCE;07/11/1985;TALANT;FRANCAISE;MEDECINS;BOTTIN CdO;RESISTANT
VIALLANES;ETIENNE;M;02/01/1891;ARCACHON;GIRONDE;FRANCE;30/07/1978;DIJON;FRANCAISE;AGRICULTEURS PROPRIETAIRES EXPLOIT.;WIKIPEDIA;
VOUILLOT;HERVE;M;01/04/1943;LONGEVILLE;DOUBS;FRANCE;NON;NA;FRANCAISE;PROFESSEURS DE FACULTE;BOTTIN CdO;
