"Id","NomDeNaissance","Prenom","Sexe","DateDeNaissance","TypeMandat","DateDebutMandat","DateFinMandat","MotifFinMandat","TypeFonction","DateDebutFonction","DateFinFonction","MotifFinFonction","NuancePolitique","IdTerritoire","NomTerritoire","TypeTerritoire","Sources"
"bdr_106","LIMOUSIN","LUCIEN","M",1947-10-19,"CONSEILLER DEPARTEMENTAL",2015-04-02,2021-06-20,"FM",NA,NA,NA,NA,"DROITE",NA,"CHATEAURENARD","Canton","PRESSE"
"bdr_106","LIMOUSIN","LUCIEN","M",1947-10-19,"CONSEILLER DEPARTEMENTAL",2021-06-26,NA,NA,NA,NA,NA,NA,"DROITE",NA,"CHATEAURENARD","Canton","PRESSE"
"bdr_146","PERRIN","JEAN CLAUDE","M",NA,"CONSEILLER MUNICIPAL",2001-03-11,2008-03-01,"FM","M",2002-07-01,2008-03-01,"FM","DROITE",NA,"BOUC BEL AIR","Commune","WIKIPEDIA"
"bdr_146","PERRIN","JEAN CLAUDE","M",NA,"CONSEILLER MUNICIPAL",2008-03-09,2014-03-20,"FM","M",2008-03-09,2014-03-20,"FM","DROITE",NA,"BOUC BEL AIR","Commune","WIKIPEDIA"
"bdr_072","GABELIER","ANTONIN","M",NA,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1975-12-01,1977-03-10,"FM","SOC",NA,"BOUC BEL AIR","Commune","WIKIPEDIA"
"bdr_072","GABELIER","ANTONIN","M",NA,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM","SOC",NA,"BOUC BEL AIR","Commune","WIKIPEDIA"
"bdr_072","GABELIER","ANTONIN","M",NA,"CONSEILLER MUNICIPAL",1983-03-06,1989-03-10,"FM","M",1983-03-06,1989-03-10,"FM","SOC",NA,"BOUC BEL AIR","Commune","WIKIPEDIA"
"bdr_137","NAL","ELIE","M",NA,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1975-11-01,NA,"SOC",NA,"BOUC BEL AIR","Commune","WIKIPEDIA"
"bdr_020","BERGEON","JEAN","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1967-06-01,1971-03-10,"AU",NA,NA,"BOUC BEL AIR","Commune","WIKIPEDIA"
"bdr_085","GUIS","MAURICE","M",NA,"CONSEILLER MUNICIPAL",1947-10-19,1953-04-20,"FM","M",1947-10-19,1953-04-20,"FM",NA,NA,"BOUC BEL AIR","Commune","WIKIPEDIA"
"bdr_085","GUIS","MAURICE","M",NA,"CONSEILLER MUNICIPAL",1953-04-26,1959-03-01,"FM","M",1953-04-26,1959-03-01,"FM",NA,NA,"BOUC BEL AIR","Commune","WIKIPEDIA"
"bdr_085","GUIS","MAURICE","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM",NA,NA,"BOUC BEL AIR","Commune","WIKIPEDIA"
"bdr_085","GUIS","MAURICE","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1967-06-01,NA,"M",1965-03-14,1967-06-01,NA,NA,NA,"BOUC BEL AIR","Commune","WIKIPEDIA"
"bdr_118","MARTIN","ROGER","M",NA,"CONSEILLER MUNICIPAL",1947-10-19,1953-04-20,"FM","M",1948-01-01,1953-04-20,"FM","COM",NA,"BERRE L ETANG","Commune","WIKIPEDIA"
"bdr_118","MARTIN","ROGER","M",NA,"CONSEILLER MUNICIPAL",1953-04-26,1959-03-01,"FM","M",1953-04-26,1959-03-01,"FM","COM",NA,"BERRE L ETANG","Commune","WIKIPEDIA"
"bdr_118","MARTIN","ROGER","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM","COM",NA,"BERRE L ETANG","Commune","WIKIPEDIA"
"bdr_118","MARTIN","ROGER","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM","COM",NA,"BERRE L ETANG","Commune","WIKIPEDIA"
"bdr_118","MARTIN","ROGER","M",NA,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM","COM",NA,"BERRE L ETANG","Commune","WIKIPEDIA"
"bdr_118","MARTIN","ROGER","M",NA,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM","COM",NA,"BERRE L ETANG","Commune","WIKIPEDIA"
"bdr_084","GUIOU","MAURICE","M",1926-01-01,"CONSEILLER MUNICIPAL",1983-03-06,1989-03-10,"FM","M",1983-03-06,1989-03-10,"FM","COM",NA,"BERRE L ETANG","Commune","WIKIPEDIA"
"bdr_084","GUIOU","MAURICE","M",1926-01-01,"CONSEILLER DEPARTEMENTAL",1973-09-23,1979-03-10,"FM",NA,NA,NA,NA,"COM",NA,"BERRE L ETANG","Canton","WIKIPEDIA"
"bdr_084","GUIOU","MAURICE","M",1926-01-01,"CONSEILLER DEPARTEMENTAL",1979-03-18,1985-03-01,"FM",NA,NA,NA,NA,"COM",NA,"BERRE L ETANG","Canton","WIKIPEDIA"
"bdr_084","GUIOU","MAURICE","M",1926-01-01,"CONSEILLER DEPARTEMENTAL",1985-03-10,1992-03-20,"FM",NA,NA,NA,NA,"COM",NA,"BERRE L ETANG","Canton","WIKIPEDIA"
"bdr_119","MARTINET","MARIO","M",1956-09-20,"CONSEILLER MUNICIPAL",2014-03-23,2020-03-10,"FM","M",2016-09-14,2020-03-10,"FM","SOC",NA,"BERRE L ETANG","Commune","WIKIPEDIA"
"bdr_119","MARTINET","MARIO","M",1956-09-20,"CONSEILLER MUNICIPAL",2020-03-15,NA,NA,"M",2020-03-15,NA,NA,"SOC",NA,"BERRE L ETANG","Commune","WIKIPEDIA"
"bdr_119","MARTINET","MARIO","M",1956-09-20,"CONSEILLER DEPARTEMENTAL",2008-03-09,2015-03-20,"FM",NA,NA,NA,NA,"SOC",NA,"BERRE L ETANG","Canton","WIKIPEDIA"
"bdr_014","BAGNANINCHI","JOSEPH","M",NA,"CONSEILLER MUNICIPAL",1947-10-19,1953-04-20,"FM","M",1947-10-19,1953-04-20,"FM","SOC",NA,"SAINT MARTIN DE CRAU","Commune","WIKIPEDIA"
"bdr_014","BAGNANINCHI","JOSEPH","M",NA,"CONSEILLER MUNICIPAL",1953-04-26,1959-03-01,"FM","M",1953-04-26,1959-03-01,"FM","SOC",NA,"SAINT MARTIN DE CRAU","Commune","WIKIPEDIA"
"bdr_014","BAGNANINCHI","JOSEPH","M",NA,"CONSEILLER MUNICIPAL",1959-03-08,1965-03-10,"FM","M",1959-03-08,1965-03-10,"FM","SOC",NA,"SAINT MARTIN DE CRAU","Commune","WIKIPEDIA"
"bdr_014","BAGNANINCHI","JOSEPH","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM","SOC",NA,"SAINT MARTIN DE CRAU","Commune","WIKIPEDIA"
"bdr_014","BAGNANINCHI","JOSEPH","M",NA,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM","SOC",NA,"SAINT MARTIN DE CRAU","Commune","WIKIPEDIA"
"bdr_200","VULPIAN","CLAUDE","M",1936-11-22,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","1er ADJOINT",1971-03-14,1977-03-10,"FM","SOC",NA,"SAINT MARTIN DE CRAU","Commune","PRESSE"
"bdr_200","VULPIAN","CLAUDE","M",1936-11-22,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM","SOC",NA,"SAINT MARTIN DE CRAU","Commune","PRESSE"
"bdr_200","VULPIAN","CLAUDE","M",1936-11-22,"CONSEILLER MUNICIPAL",1983-03-06,1989-03-10,"FM","M",1983-03-06,1989-03-10,"FM","SOC",NA,"SAINT MARTIN DE CRAU","Commune","PRESSE"
"bdr_200","VULPIAN","CLAUDE","M",1936-11-22,"CONSEILLER MUNICIPAL",1989-03-19,1995-06-10,"FM","M",1989-03-19,1995-06-10,"FM","SOC",NA,"SAINT MARTIN DE CRAU","Commune","PRESSE"
"bdr_200","VULPIAN","CLAUDE","M",1936-11-22,"CONSEILLER MUNICIPAL",1995-06-18,2001-03-10,"FM","M",1995-06-18,2001-03-10,"FM","SOC",NA,"SAINT MARTIN DE CRAU","Commune","PRESSE"
"bdr_200","VULPIAN","CLAUDE","M",1936-11-22,"CONSEILLER MUNICIPAL",2001-03-11,2008-03-01,"FM","M",2001-03-11,2008-03-01,"FM","SOC",NA,"SAINT MARTIN DE CRAU","Commune","PRESSE"
"bdr_200","VULPIAN","CLAUDE","M",1936-11-22,"CONSEILLER MUNICIPAL",2008-03-09,2014-03-20,"FM","M",2008-03-09,2014-03-20,"FM","SOC",NA,"SAINT MARTIN DE CRAU","Commune","PRESSE"
"bdr_200","VULPIAN","CLAUDE","M",1936-11-22,"CONSEILLER MUNICIPAL",2014-03-23,2020-03-10,"FM","M",2014-03-23,2016-05-10,"DM","SOC",NA,"SAINT MARTIN DE CRAU","Commune","PRESSE"
"bdr_187","TEIXIER","DOMINIQUE","M",1951-04-07,"CONSEILLER MUNICIPAL",2014-03-23,2020-03-10,"FM","M",2016-05-15,2020-03-10,"FM","DVG",NA,"SAINT MARTIN DE CRAU","Commune","PRESSE"
"bdr_105","LEXCELLENT","MARIE ROSE","F",1947-02-10,"CONSEILLER MUNICIPAL",1995-06-18,2001-03-10,"FM",NA,NA,NA,NA,"DVG",NA,"SAINT MARTIN DE CRAU","Commune","PRESSE"
"bdr_105","LEXCELLENT","MARIE ROSE","F",1947-02-10,"CONSEILLER MUNICIPAL",2001-03-11,2008-03-01,"FM",NA,NA,NA,NA,"DVG",NA,"SAINT MARTIN DE CRAU","Commune","PRESSE"
"bdr_105","LEXCELLENT","MARIE ROSE","F",1947-02-10,"CONSEILLER MUNICIPAL",2008-03-09,2014-03-20,"FM",NA,NA,NA,NA,"DVG",NA,"SAINT MARTIN DE CRAU","Commune","PRESSE"
